timestamp,checkerboard_px,checkerboard_py,checkerboard_pz,checkerboard_qx,checkerboard_qy,checkerboard_qz,checkerboard_qw,torso_px,torso_py,torso_pz,torso_qx,torso_qy,torso_qz,torso_qw,l_shoulder_px,l_shoulder_py,l_shoulder_pz,l_shoulder_qx,l_shoulder_qy,l_shoulder_qz,l_shoulder_qw
1782290084.720248,913.97142,226.10763,1140.318,-0.64181305,0.62178011,-0.31802518,0.31674201,-281.8616,-49.390689,970.90524,0.010310818,0.013929744,0.0073784267,0.99982259,-401.63204,187.72134,1305.7173,0.015275426,0.0054611032,0.0074261011,0.99984083
1782290084.730244,913.97142,226.10763,1140.318,-0.64181305,0.62178011,-0.31802518,0.31674201,-281.8616,-49.390689,970.90524,0.010310818,0.013929744,0.0073784267,0.99982259,-401.63204,187.72134,1305.7173,0.015275426,0.0054611032,0.0074261011,0.99984083
1782290084.740236,913.97142,226.10763,1140.318,-0.64181305,0.62178011,-0.31802518,0.31674201,-281.8616,-49.390689,970.90524,0.010310818,0.013929744,0.0073784267,0.99982259,-401.63204,187.72134,1305.7173,0.015275426,0.0054611032,0.0074261011,0.99984083
1782290084.750235,913.97142,226.10763,1140.318,-0.64181305,0.62178011,-0.31802518,0.31674201,-281.8616,-49.390689,970.90524,0.010310818,0.013929744,0.0073784267,0.99982259,-401.63204,187.72134,1305.7173,0.015275426,0.0054611032,0.0074261011,0.99984083
1782290084.760253,913.97524,226.10688,1140.3086,-0.64180463,0.62177997,-0.318035,0.31674945,-281.87782,-49.351707,970.88236,0.010332665,0.013879551,0.0068871581,0.99982657,-401.63904,187.74857,1305.7294,0.015336008,0.0056197428,0.0073751447,0.9998394
1782290084.770260,913.97232,226.11807,1140.3104,-0.64181321,0.62177555,-0.31803095,0.31674483,-281.87841,-49.376462,970.87383,0.010312683,0.013837124,0.0072661278,0.99982468,-401.64003,187.76639,1305.7384,0.015378427,0.0057056702,0.0073528086,0.99983843
1782290084.780265,913.97852,226.10772,1140.3133,-0.64180833,0.62178708,-0.31802288,0.31674019,-281.8794,-49.344756,970.85935,0.010358659,0.013814036,0.0067012697,0.99982847,-401.63118,187.7393,1305.7306,0.015397057,0.0055361463,0.0073930819,0.9998388
1782290084.790250,913.97852,226.10772,1140.3133,-0.64180833,0.62178708,-0.31802288,0.31674019,-281.8794,-49.344756,970.85935,0.010358659,0.013814036,0.0067012697,0.99982847,-401.63118,187.7393,1305.7306,0.015397057,0.0055361463,0.0073930819,0.9998388
1782290084.800242,913.97852,226.10772,1140.3133,-0.64180833,0.62178708,-0.31802288,0.31674019,-281.8794,-49.344756,970.85935,0.010358659,0.013814036,0.0067012697,0.99982847,-401.63118,187.7393,1305.7306,0.015397057,0.0055361463,0.0073930819,0.9998388
1782290084.810241,913.97852,226.10772,1140.3133,-0.64180833,0.62178708,-0.31802288,0.31674019,-281.8794,-49.344756,970.85935,0.010358659,0.013814036,0.0067012697,0.99982847,-401.63118,187.7393,1305.7306,0.015397057,0.0055361463,0.0073930819,0.9998388
